Id,SalePrice
2031,239225.161755499
1525,126419.132855984
1551,102946.960260991
2354,130932.295855559
2439,95037.9639250245
1589,109877.953137839
2167,219135.529160541
2710,123724.832917463
2095,131104.908139778
2085,110758.357785098
2459,106356.23427972
2735,128904.869806695
1548,132061.436230042
1771,131771.918432812
2027,162713.087934824
2520,218108.857571816
2813,150352.929754649
1780,165126.031864605
1646,153775.411935792
2144,130503.196733737
2084,113474.478853689
2398,135753.709575693
2341,224860.507128241
1942,183753.318697812
1669,283387.655411319
2497,143502.612912459
2449,114202.012370897
1508,202268.125174565
1881,267456.291753992
2484,128934.562698106
2767,89862.6926616736
1706,404236.637590133
2706,105584.086115858
2659,282648.166407888
2301,278101.097470546
2544,136089.903980974
1811,95840.7810236844
2112,142441.747432882
1874,154097.755979266
2217,91100.4146671077
2350,287734.820718644
2052,125938.255557499
1921,359511.382368434
2593,255163.055674259
2096,79654.517485462
1888,283325.787479829
2913,92168.7032829029
2015,197173.694921079
2648,147887.623607053
2132,111566.353905921
2647,104679.386598228
2758,98334.9926547429
2574,247400.843856899
1869,210443.033294788
2411,111216.840035198
2876,156937.500843419
1651,129643.014510982
2395,216653.037611825
2012,162581.318496208
2270,183969.921146802
1902,153718.695264971
2903,314508.309206127
1873,247708.048179409
1999,271227.908298873
2529,128735.958469202
1788,77661.8907298988
1512,182652.250990822
2308,218915.123559075
2534,218502.672120241
1538,153408.581728114
1535,150414.536282351
2604,90556.4825199641
2891,131229.859790362
2188,154726.349305923
1707,207218.121908662
2738,123287.952876976
2823,321905.64914712
2047,146122.690566296
2165,187302.703248192
2334,259589.631361017
2032,234438.529776098
1955,137733.40563139
2655,380941.148684325
1895,136910.886430923
2536,242868.605714709
2814,152359.856847453
1546,131206.492772247
2736,150022.519226675
1516,146212.675563397
2345,240867.255860054
2683,344819.650041266
2679,275065.493836313
1759,166394.76649371
2104,139182.599839424
2471,190515.071115522
2542,166522.226440629
2898,138660.468170877
2158,229532.801136523
1957,158156.997245309
2489,155994.330221364
2499,89361.506715356
1864,267972.512609128
2140,140211.701556619
1692,248362.431274785
1532,91820.2191980058
2186,154157.763636576
2342,235138.009854532
1662,363211.208311535
2850,286162.657341974
1855,145247.501937117
1608,212767.752401776
1858,140324.565693257
2524,133066.153921771
2174,240451.057203237
1893,133425.610601347
2595,183600.645939249
2410,182297.476329924
2650,133130.646320618
2819,167805.230919245
2116,124888.896150938
2717,200106.837416025
1642,235298.180273379
2740,134977.024462838
2547,136962.883397238
1984,172544.804499329
2627,159214.743540108
1654,144100.191733397
1948,163025.160507008
1727,156676.394178877
2086,121032.381848985
2406,143306.95716596
1861,110635.229664513
2017,186845.682754332
2462,137359.723718389
2555,111404.478152172
1750,129590.978086157
2128,125465.970413422
1728,171212.041207712
2588,147586.471785216
2251,134742.234507715
1821,106959.473376779
1813,121167.127551105
2117,147969.405567246
1745,213435.992252657
2023,147761.676461997
2367,210883.405754951
2870,143306.551787961
1928,164953.389143379
2133,110361.680938988
2399,90408.8683565433
2805,96145.0103770144
1773,137478.626501103
1793,129691.655574743
2072,152744.347499907
1467,188754.315751368
1746,193586.53579432
2111,135829.206186043
2458,131699.656080102
1710,224898.186498123
1959,137062.414924567
2184,123387.8863336
2374,317729.286858217
1755,159555.910033427
2107,210363.335582321
2317,199820.65776936
2705,115002.110085307
2634,380870.763085847
2793,178664.223748371
1832,120265.708744426
2504,217035.406236251
1862,274425.021593486
2094,109724.380150165
2162,395352.822058356
1712,265061.831457756
2905,112487.264886671
2606,153473.398952807
2477,120544.466454883
2625,281991.442297286
2295,429641.017979586
2385,155305.913797451
1967,290355.627872921
2629,395306.050983134
1912,292584.794120976
2437,105553.525288247
2200,147726.582219671
2394,126486.227603473
1553,135389.729999842
1580,197078.265190129
2810,128856.521455692
2461,117823.532684219
1479,283267.70812698
2050,164042.449748352
2522,228221.003088011
2689,191555.836948216
2485,118145.068407172
2192,95326.1408415044
1478,288937.439948231
2636,179529.077051649
2884,206310.183937275
2057,105676.716138779
1897,126734.580976825
2744,154743.989294568
1672,427988.636888541
2908,123563.686831328
1466,176724.199239528
1741,217742.106060085
1647,147771.143063274
2033,252388.482803267
2498,115001.662978822
2869,124998.981851738
1536,109610.067709346
1738,225665.22206341
1520,130280.558230119
1752,123250.530714204
2075,134979.977855601
1918,129655.658686815
2170,218135.10910673
2878,175337.698169035
2062,124558.661003945
2821,126439.163330361
2351,238246.847316888
2256,171124.917762317
2730,141649.948678877
1930,130958.951160532
2041,245299.113744174
2434,143366.025090843
2896,269971.874470287
2492,191590.70498152
1761,166991.334380223
1571,115526.104562106
2120,119893.365419192
1914,80524.2050195751
1528,130718.715493499
1730,154421.668465177
2464,179742.438485419
2340,369449.263784663
2136,88782.964530492
1924,243910.727398477
1514,167122.104161194
2766,143767.439249271
2422,107254.903116103
1705,228775.200723351
1777,108095.962427283
2559,130824.525332757
1630,357368.878744898
2150,204386.958182891
1587,96036.0491926752
1540,121369.946400775
2379,233602.274422786
1887,218667.949009834
1796,116554.056607545
2893,108975.040411366
2662,344490.718657162
2757,81887.8482431976
2018,124508.974751889
2623,235907.615124554
1560,122468.910106876
2101,114158.262598097
2666,279388.25379971
2008,213126.332651516
1570,117424.697259384
2882,176905.785945679
2835,213370.278445215
2447,171578.117282179
2548,158538.062001223
2009,194425.982824272
1652,93543.6556350897
1696,280501.181571844
2431,114918.740941295
1542,144271.254185808
2741,141204.353600393
1922,298172.586262317
1872,170815.886469565
1790,78598.3946014503
1778,136792.584961122
2147,178620.080288132
1857,153666.42442927
1564,170233.234959184
1569,150622.758358667
1933,190306.037982723
2768,129295.510871177
2609,172394.133560446
1648,131186.38541158
1556,113165.289427929
2488,155127.016035323
1470,127762.503057554
2375,237648.020566148
2726,153036.845418804
2563,155519.135000374
2028,160282.967168729
1609,175162.398652714
1549,118212.11928972
2553,81338.3027619336
2155,134799.757601002
2514,234343.714195561
1988,178135.598443584
1575,220369.412347326
2809,132688.609132653
2076,122017.131721131
1768,137714.243413296
1494,279852.716001127
2106,102244.575461172
2556,100714.057208103
2332,371239.0324653
2571,209341.685247355
2844,172288.71239669
1889,168435.200662621
2080,111973.495240213
2331,371513.678045641
2784,116658.399326975
2839,168282.960507925
2911,86409.433185491
1960,111863.263983067
2061,170490.622395675
1935,172920.054015873
2539,185015.716216259
2912,146009.587845617
2269,154412.048697427
2457,129580.994832532
